Gene	Rank
CLDN6	12.9603648
EIF5A	10.24767213
PPP1R1A	9.76336144
RBPMS2	9.008370752
HPAT5	8.755436336
FTH1	8.716637235
MT2A	8.592511991
ECHS1	8.334725955
PHLDA1	8.094694516
HMGA1	7.975983967
FOXD3.AS1	7.739348463
MT1G	7.710678661
NUDC	7.684897138
SRA1	7.631686553
RBPMS	7.580192786
SFRP2	7.513465501
SLC25A3	7.412106552
CD24	7.379356216
TMEM52	7.324460992
UBE2D1	7.250107085
PPDPF	7.177505968
TDGF1	7.036622626
HSPB1	6.847529683
TMEM88	6.795329543
LINC02570	6.782156401
MT1H	6.750117452
SLC25A6	6.719571616
NDUFS7	6.677925183
EMD	6.633636246
EPCAM	6.626963524
ARL2	6.564944436
GPRC5B	6.548122021
CCDC12	6.500970506
SEPHS1	6.496147444
IDO1	6.427762352
RAE1	6.338351516
MRPS34	6.336726485
SRM	6.293214152
BSG	6.270776707
RTN3	6.208957976
ADM	6.169689696
MDH2	6.161563837
SUMO3	6.043863374
OAZ2	5.970592977
MT1X	5.943268065
MT1E	5.93649397
HCFC1R1	5.909290145
AC011611.3	5.858528153
COX5A	5.82442581
PTGES3	5.809702215
MFAP2	5.743017697
SALL2	5.673293128
MT1F	5.645676367
AP2M1	5.602217208
RNF34	5.596200125
EMC4	5.586970441
DNAJB6	5.529811606
C19orf48	5.520911517
FKBP2	5.494932158
CRABP1	5.476633708
UCHL1	5.401623541
CLU	5.377442245
SMS	5.377116976
ZNF706	5.334201201
ALG8	5.31418389
SRI	5.293591981
GOLGA7	5.28939036
NUTF2	5.276928364
JPT1	5.272760501
CTSC	5.253001277
RPL28	5.252383692
FARSB	5.210702301
CXCL6	5.172990733
RAB3IL1	5.163882482
METTL26	5.160589517
BLVRB	5.124045824
SF3B4	4.951952069
RNF5	4.938189547
EIF6	4.913167479
SCG3	4.889319154
COPE	4.8775479
C2orf15	4.855146289
AURKAIP1	4.838705848
APRT	4.803325436
NNAT	4.800976147
CKB	4.779411622
NPC2	4.772632657
AP1S2	4.767072224
EIF3I	4.759356357
PMAIP1	4.759102224
PPID	4.726242241
FIBP	4.705712943
RABGAP1L	4.695990154
AL392089.1	4.679106954
CUEDC2	4.670786678
ADCY1	4.651815446
CHCHD10	4.643038623
RARRES2	4.617741674
KPNA2	4.612348894
ATP6V0C	4.611356154
CFL1	4.56136815
MRPL37	4.554448817
SLC25A39	4.553823219
POLR2E	4.530759342
LINC00545	4.519654846
TMEM160	4.475069466
FAM49B	4.45327683
POLR2L	4.390930827
SCG5	4.390448914
BCAP31	4.339715328
UTP4	4.326205173
AIG1	4.302814361
RTCB	4.289120113
MRPS17	4.270946419
TSR3	4.22756028
NUSAP1	4.192851483
BEX2	4.190167217
MRPS15	4.173717084
PODXL	4.171904888
NDUFS8	4.170510023
DTD1	4.170033935
ARL4A	4.169132761
PRKRA	4.152929253
RNASEK	4.144707673
SNF8	4.140743939
IDH3B	4.120008222
SMIM7	4.09983608
CYP8B1	4.099388495
PSAT1	4.097996235
UCP2	4.097819424
PRDX6	4.087452119
AC004448.2	4.084608978
AL589765.4	4.084608978
ARVCF	4.055132562
CCDC112	4.045519642
EIF3G	4.042249904
CUTA	4.03462087
AL390719.1	4.032040302
HEXB	4.029946065
TUBB	4.018789504
MRPS26	3.979091401
KRTCAP2	3.978324797
EBP	3.976636552
DMKN	3.973026155
PCBD1	3.955514313
LINC01876	3.953708458
HSBP1L1	3.950401564
IMMP2L	3.942107936
KCMF1	3.928634228
BID	3.92370319
EIF1B	3.917665124
SAP30BP	3.916541542
AKR1A1	3.914642845
BIK	3.912487676
KRT18	3.905887435
RFC2	3.904027881
CAPZB	3.898621786
TALDO1	3.891580671
ECH1	3.877828668
SMCO4	3.873754679
CMIP	3.841560461
AC064799.1	3.815855647
EIF3H	3.814834709
SEC11C	3.81236234
DSTN	3.811838774
NMRK2	3.808618384
NME4	3.808522256
ARHGEF18	3.798119387
KRT10	3.795929881
MRPS6	3.789590452
HIST1H2BH	3.789487723
CRYBG2	3.782378063
MTX2	3.769164184
NDUFS6	3.756680141
ACOT7	3.751672555
TBC1D7	3.750224377
GTF3C6	3.750194718
CCDC124	3.702219501
RBBP7	3.701988813
COPS6	3.698407414
MAD2L2	3.68700968
PRR13	3.671350098
FAM136A	3.668265258
CSNK2B	3.667994488
KLK10	3.665332609
HBQ1	3.661150106
ZSCAN16	3.658870905
PFDN2	3.652234316
SH3BGRL3	3.641160273
POLE4	3.640233674
ASAH1	3.639638913
EDF1	3.638547386
RABAC1	3.626310424
NUDT4P2	3.62288009
RPL8	3.59699118
RGS5	3.58497945
PPT1	3.577673137
PSMD6	3.565918111
ATP6AP2	3.564123722
GNPDA1	3.564104496
AGTRAP	3.562962415
AC106864.1	3.557873769
ACTB	3.55682534
PAFAH1B3	3.556819595
RHOA	3.554078981
C11orf98	3.55264366
MIEN1	3.549385809
ACP1	3.540830283
SLC25A5	3.537227445
CFAP298	3.53717247
VDAC2	3.530856794
CYBA	3.524665976
FNTA	3.523933866
CCDC59	3.521064266
H2AFY	3.517678322
OCIAD2	3.507520301
SNAPC5	3.50393129
PSMB4	3.500372004
CCNB1	3.496067525
CPSF3	3.487747838
RRP36	3.485762268
RHEB	3.470672351
EIF4E	3.454874354
PHYH	3.45465018
AIFM3	3.447713452
OTUB1	3.445401671
TRAPPC1	3.445215465
PTPRZ1	3.426195964
SNRPA1	3.396356072
MRPL28	3.396330494
WDR12	3.392165909
RBBP4	3.38472216
