Gene	Rank
SNAI2	22.90741481
CDH11	22.89400664
TMEFF2	19.05793044
GYPC	17.55833981
APLNR	17.19236746
KCNK17	17.07706241
ENPP2	16.46945096
PDGFRA	16.20306499
FAM89A	16.05847342
HVCN1	16.0113106
FGF3	15.1994098
TBX6	14.64450579
HOXB2	14.4160399
PPP1R17	13.7409237
SNAI1	13.73792641
CNTFR	13.73774862
DLL3	13.67093074
CA3	13.50526864
MSN	13.50474193
HAS2	13.24164821
MFAP4	13.21457301
MESP1	13.19957484
MEIS2	12.90026823
DNAH9	12.85926088
HOXB.AS1	12.78953487
ALDH1A2	12.70415024
MEIS1	12.58996087
COLEC12	12.43148256
AC073174.2	12.21098257
PLXNA2	11.79779795
BCHE	11.77909604
EGFLAM	11.72955914
PYCR1	11.71169125
DACT1	11.70056602
PHC2	11.65070203
ACSS3	11.44120603
RBFOX1	11.42651311
SLC25A24	11.33750148
RAB26	10.99082072
MAOA	10.86830234
ENPP1	10.47978819
WNT8A	10.44455219
CD44	10.39139059
MXD4	10.37185508
SMARCD3	10.17392953
OLFM1	10.16596097
LEF1	10.13191504
DBNL	10.07445699
RND3	10.06219931
LRIG3	9.920636094
AKAP8L	9.78579437
NETO2	9.569467587
RXRG	9.505271826
COL13A1	9.475755229
VIM	9.261098465
C11orf24	9.221527612
PRNP	9.218450327
ANXA6	9.170948077
AC092674.1	9.119660307
FOXF1	9.084760457
TNIP1	9.031550622
IRX3	8.957258901
COL6A1	8.92961803
PSKH2	8.893100031
CRNDE	8.867743459
HOXB6	8.867395525
AC044810.2	8.849192381
AL117348.1	8.795957065
WNT5A.AS1	8.76815121
HOXB5	8.751666497
MESP2	8.737388851
ACO2	8.656063467
HOXB1	8.654132255
ITGA5	8.649087018
TCEA2	8.571914845
DAXX	8.569212083
CPXM1	8.542527504
ST6GALNAC3	8.529652621
AMIGO2	8.516087857
CADM2	8.503920701
SLC30A5	8.494091143
STRA6	8.491514584
REEP4	8.407116292
ITGA8	8.256543269
GFPT2	8.249740303
ABHD6	8.226631449
DAB2	8.208177341
SERPINE2	8.20579419
ZIC3	8.203002809
ATP6AP1	8.162896929
STK17A	8.158709363
HAND1	8.154093213
IL13RA1	8.147718586
FGF17	8.14534591
ACO1	8.132886706
HOXB.AS3	8.125706036
SNRNP70	8.113245613
C9orf64	8.104392602
PRCC	8.028898868
KLHDC3	8.008117775
SIGMAR1	7.991455957
AC020951.1	7.946900161
PTPRM	7.936773558
WNT3	7.915878419
LIMD2	7.915564612
PRCP	7.893826164
OS9	7.882852861
POMGNT1	7.873222951
DRC7	7.854233291
MBOAT2	7.851000091
HDHD5	7.839806746
GIT2	7.82918171
BAALC	7.828966469
GDF1	7.811722781
FAIM2	7.809560851
OVCH2	7.809560851
LOX	7.80755783
FTSJ1	7.729489739
LHX1	7.687696958
FAR2P2	7.591884023
RCN3	7.587010114
CYP27A1	7.582138888
AC141586.1	7.5793284
LMAN2L	7.57931157
GCDH	7.568663279
AC068051.1	7.55618309
HSPB8	7.536317367
FLOT1	7.514103348
BAIAP2L1	7.483742994
FAR2P3	7.444867104
PDLIM4	7.425646648
PPP3CA	7.40962658
BLCAP	7.390110862
SLC27A3	7.362775847
NXF1	7.349651137
GALK1	7.302840316
KHDRBS3	7.302386492
MAP2K2	7.267279578
GALT	7.258018502
SLC2A8	7.22447323
TMEM161A	7.218422353
IL1RAP	7.209543468
PMP22	7.201556091
BCL7C	7.197369985
AATF	7.19464615
SHMT2	7.194098591
CXCR4	7.187445261
PQLC2	7.185643857
FEN1	7.178723107
PELO	7.175116505
TOR1AIP1	7.135611721
THAP11	7.114409276
P4HA2	7.108418684
GGA2	7.088671216
MOXD1	7.077857744
MFGE8	7.047391336
COTL1	7.045705999
FAM69B	7.037673142
POLDIP2	7.016346804
DAP	7.001958936
HERPUD1	6.999124993
ST8SIA6	6.994201767
PDE4D	6.985697408
OTX2	6.984246534
FBXO17	6.965486009
WNT5A	6.965486009
WWTR1	6.957792521
CD2BP2	6.948185066
C2orf40	6.922577735
JMJD6	6.878174218
GATA4	6.877765806
IDH3G	6.873542152
HYAL2	6.867903542
TEPP	6.85710843
KDR	6.850375601
EDNRB	6.849811695
COL1A2	6.844943498
ANOS1	6.834708693
FBN2	6.830557237
AP1M1	6.829221876
VPS52	6.828417928
ARAF	6.818199548
ABCB6	6.808357198
ASS1	6.801420318
ARPC1B	6.798730097
ANKZF1	6.797721495
UAP1	6.792463573
DLL1	6.771685174
IER2	6.724179933
ARRDC1.AS1	6.709975501
GATA6	6.699807637
JAM3	6.692976216
EPDR1	6.672945973
NECAB3	6.66921685
ITGA9	6.646971465
LINC01799	6.592940909
FARSA	6.556242802
ADPGK	6.549606241
ABHD4	6.527739761
AKIP1	6.511307154
ABCC12	6.507980315
PUSL1	6.496462131
TWIST1	6.494364257
SGSM3	6.489686649
CFAP410	6.485387424
AC080038.1	6.473818428
SMIM24	6.470272656
FOXH1	6.457318129
WBP2	6.453361681
ZNF804B	6.445647027
UNC5C	6.440126315
ZNF836	6.425968346
TMEM108	6.421051116
DOK6	6.412570174
GADD45G	6.407321236
MSGN1	6.385829845
TAGLN3	6.373608983
MAGI2.AS3	6.360534378
RAB11B	6.353853087
