Gene	Rank
CCL22	2.391593117
TMEM230	2.389084275
RNASEK	2.385180633
HK1	2.384553084
PIH1D1	2.374073683
SMS	2.372127478
EXOSC2	2.36885146
DDOST	2.367305087
GLRX2	2.343402488
T	2.340807089
SNX1	2.330735222
MPRIP	2.326963405
TTC39B	2.325793056
GTF2E2	2.31692113
CACYBPP2	2.313239366
NIF3L1	2.312611968
MTFP1	2.312134872
MYDGF	2.300776247
PPP1R17	2.294917864
AC020917.3	2.291095971
CNOT7	2.285730877
SNAPC3	2.28547846
ZEB2.AS1	2.280064796
AC008915.1	2.280064796
AC020951.1	2.27865754
EIF3G	2.278405782
E2F5	2.272844262
PDZD11	2.271432615
ERGIC3	2.271363114
SRA1	2.268730155
RPL8	2.266945903
BCKDK	2.263960359
LRRC9	2.262973268
ASPH	2.262173485
MED30	2.255101484
AC023355.1	2.243942487
ARL4D	2.243885295
FAM45A	2.242903669
TMEM50A	2.239625007
LEFTY2	2.237471176
QARS	2.227117574
FAM32A	2.226210847
PQBP1	2.221709991
STX5	2.220297943
COMT	2.212246089
EPN1	2.208762623
UBA5	2.208602097
CIB1	2.208466298
MGC15885	2.198832542
CALML4	2.196017143
AKR7A2	2.189920262
YWHAZ	2.185773144
AC025166.1	2.183878582
PDIA6	2.182420698
NTPCR	2.178860296
AARD	2.178135444
MITD1	2.175755432
SGCB	2.171124727
HSD17B7P2	2.170948036
SNHG9	2.169655481
AC022140.1	2.168839649
AIF1	2.163130886
APOPT1	2.160728132
DUT	2.160248958
MAP1LC3B	2.156382696
DNAJC3	2.155074129
IQSEC2	2.153594008
AP000251.1	2.134885127
PPIAP46	2.134802881
PCGF5	2.132190832
AC009309.1	2.128970418
BNIP3L	2.127474274
LEF1	2.123397192
AKR1A1	2.119562003
CENPS.CORT	2.116262347
FGF3	2.115146524
NDUFAF1	2.114466775
ANXA5	2.108703063
LRP5L	2.107467478
TPM3	2.106623526
CCDC167	2.102090893
UTP6	2.101919507
PMPCB	2.099048404
NBDY	2.095668326
PPT1	2.093167467
CFL1	2.092818049
CENPH	2.09279096
FGFBP3	2.091066146
LINC01971	2.08966037
ZNF787	2.08966037
CHIC2	2.088173246
SLC25A11	2.085827446
PCDH19	2.084283168
ATG3	2.081787942
CMTM6	2.081437475
STK17A	2.080563836
CASP9	2.080511519
UROS	2.079803371
GATA4	2.078315791
GTF2A2	2.074201966
DNAH17.AS1	2.069572463
SCNM1	2.065787696
RECK	2.05670411
VPS28	2.053550291
FGF17	2.053541626
EXTL2	2.053171224
EFCAB11	2.051645599
C8orf44	2.05126458
TTC39A	2.049582437
EID2B	2.044189555
RFC2	2.043502665
LRRK1	2.043052939
AC003975.1	2.042428212
ANKRD33B	2.03962411
CXCR4	2.037246108
SLC16A2	2.035180337
EIF3F	2.0324723
DRG1	2.029922347
AC007448.3	2.029690228
AL772307.1	2.026470781
COPS5	2.024181301
TM9SF2	2.022274304
ZPR1	2.020660438
AL354740.1	2.019582469
RBMX	2.014820109
PNMT	2.01286524
CYBA	2.012537058
PEF1	2.012441698
SNRNP25	2.006810353
PPP1R3C	2.005159924
AC016205.1	2.004178389
CLTA	2.000941674
ZNF781	2.000035173
AK4	1.999965384
TXNL1	1.998732178
PRPF8	1.995585994
PLGRKT	1.995144194
UBE2E3	1.993037631
AC006033.1	1.99278116
MGRN1	1.991167751
CNOT9	1.991077488
SGSM2	1.990198989
TRAPPC5	1.987739105
SCAND1	1.985733908
ZNF385D	1.980387209
TANK	1.978608239
YTHDF3.AS1	1.975925671
BEX4	1.972849107
SMPDL3A	1.970799744
CCDC120	1.970599823
HOXB2	1.970131834
MGST2	1.968528913
TXN2	1.968353267
AC092718.4	1.966477914
HACD3	1.966165171
CIART	1.96480046
FAM177A1	1.964476139
TCEAL8	1.963951315
NDUFV2	1.961280049
RCN2	1.961012691
UCHL5	1.960423895
RAP1B	1.960263081
MTCH2	1.960181722
GLIPR2	1.958594531
ATP6V0C	1.954771588
RNASEH2A	1.952344967
RANGRF	1.951405732
DDX12P	1.9510982
ARHGAP35	1.944146501
CENPS	1.943692156
ARL6IP4	1.941170696
ARPC5L	1.938122275
ZC3HAV1L	1.937700497
UPF3A	1.935033311
DKC1	1.932926347
GBF1	1.931970594
ZNF749	1.929912865
COPS8	1.92817056
EIF2S1	1.927456477
MRPS15	1.924647122
URB1.AS1	1.922927049
AC020765.2	1.920536352
RRBP1	1.918800103
KIF24	1.91704139
DCP1B	1.916657559
TIMM50	1.91135768
HNRNPUL1	1.90953305
OSTF1	1.905710655
ERV3.1	1.903830241
KHDRBS1	1.903651748
AC084033.5	1.902770436
TIGD4	1.901818994
ZCCHC17	1.900828688
CFAP36	1.900243513
ABT1	1.898971521
TMEM242	1.897376543
GAL	1.896893637
FAM92A	1.89335211
AKR1B1	1.890957122
CALB1	1.889913092
TRAPPC3	1.886744319
MAGOH	1.885789843
SNRPA1	1.885671082
AC211476.4	1.884626907
PTGES3	1.88289594
HOXA.AS2	1.882594756
ACTG1	1.881914698
EIF3H	1.880454428
GNAI1	1.877311735
FOXH1	1.877144645
BEST1	1.876736802
CHCHD3	1.876700364
PCAT6	1.874972014
TMEM45A	1.873967446
AC011462.1	1.87084065
CU638689.5	1.869232872
THUMPD3.AS1	1.868862864
AC104986.2	1.866855639
AGPAT4	1.866510305
DLD	1.866353722
TMED10	1.866104933
FKBP14	1.864535246
TCEAL2	1.8637021
CSNK2B	1.863624827
SDR39U1	1.863213169
MGC32805	1.861858268
MED6	1.86024337
PHKG2	1.855587316
NSDHL	1.854843645
CALU	1.854737867
FKBP1A	1.854466209
MAT2B	1.854301935
URGCP	1.849019823
MRPL15	1.848285247
MNT	1.847946
HIVEP2	1.84698491
PMS2P1	1.846845697
MRPS7	1.841218612
MRPL17	1.841077217
SLC25A42	1.837335143
ASB13	1.834071117
DNAJC3.DT	1.833374733
EID1	1.829321316
ELOVL6	1.828944106
GSTM1	1.828261862
MTPAP	1.826977189
AL080317.3	1.819860366
DECR1	1.817498596
PLIN2	1.817381572
GLRX3	1.814037269
RAB7A	1.813679508
FAM200A	1.8132574
OR2A20P	1.811626045
NKAIN3	1.810863459
RAP2C.AS1	1.810863459
SSU72	1.810526383
SNAI2	1.809846945
XRRA1	1.808897514
KIAA1958	1.807037815
TMEM208	1.806933239
TPGS2	1.805839996
AC108457.1	1.805789535
NAGK	1.8056231
MYNN	1.804039981
FBXO25	1.803875092
PYURF	1.80199404
WFDC2	1.8018422
HSP90B1	1.798879534
HELB	1.797830164
RAB20	1.797800027
STAG3L4	1.79734317
PPP6C	1.795751919
CCNK	1.791083181
ODR4	1.787946362
ZSCAN1	1.787895521
RNF5	1.784458417
ATP6V0D1	1.78216698
CAPZB	1.780889467
MRPL12	1.780685454
SH3BGRL3	1.777872234
PIP5K1C	1.775098653
TCEAL3	1.769126924
MRPL2	1.768967419
PLEKHJ1	1.768874698
MMP23B	1.767808252
RXYLT1	1.766894191
REM2	1.766213114
SMIM19	1.765927649
RAE1	1.762770671
RABAC1	1.760688224
PRRC1	1.759992696
DENND1A	1.759713379
LINC00908	1.75904282
HAS2.AS1	1.758714428
ECHS1	1.758609302
TMEM128	1.757997039
MEA1	1.752199166
UBLCP1	1.75091704
SDF2L1	1.748587646
GSKIP	1.747169789
AC009533.1	1.74713256
RUVBL1	1.743001407
AC093495.1	1.739689953
IVNS1ABP	1.737856788
PGAM4	1.735941627
PSMG1	1.735631343
SNRPA	1.735410152
PRXL2A	1.733311262
LNP1	1.732990042
STMP1	1.73062468
NUFIP1	1.727712249
EIF4E2	1.72644731
PRKAR2A	1.725606836
MRPL19	1.725605921
MED11	1.722405396
DZIP1L	1.722118972
GFPT2	1.722003768
RTL8C	1.721971325
PARK7	1.720696519
ARF5	1.720246582
REEP5	1.718903259
MIR762HG	1.716615904
PRDM2	1.716085491
BSG	1.711790635
CLEC11A	1.708999919
GPX4	1.70883193
PRDX6	1.706461213
AL358113.1	1.704826486
NSFP1	1.704444724
GLRX5	1.703060728
TOMM22	1.702033185
ITGA8	1.700884523
HSPA5	1.700001256
LUC7L	1.699976674
TOMM40	1.698572213
TMSB15B	1.698432385
CHCHD4	1.697574095
CCDC169.SOHLH2	1.695929017
FAM3A	1.69539859
C3orf67	1.694353914
SEPT7P2	1.693189043
BZW2	1.692443802
AL355338.1	1.690753811
GSR	1.685304479
C1orf43	1.684406028
MSANTD3.TMEFF1	1.682301934
MIS18A	1.682093754
IDH1	1.675578719
SEC13	1.675566928
JAK2	1.674450357
NADK2	1.674122496
UBE2S	1.674029948
ESD	1.673701132
CFAP20	1.670422274
HSPB11	1.66949345
PROSER3	1.668450304
PSMA5	1.667117608
VAMP2	1.666882964
BRK1	1.666628233
FIBP	1.665382995
PRKG1.AS1	1.664985976
TIA1	1.655877596
HAUS4	1.655833738
KATNA1	1.655761647
RBFA	1.653441902
COL6A3	1.652717505
SSR3	1.64923665
AC098487.1	1.648918279
RBM17	1.64880291
JAGN1	1.646728172
MCU	1.646177004
TMEM222	1.644653475
TRIR	1.640363508
RPE	1.636962976
SAP30BP	1.636753971
IFT43	1.636545917
AL133299.1	1.63590686
NPIPB11	1.635421434
DIMT1	1.634656433
Z69720.2	1.633122719
RIOK2	1.630661201
C1RL	1.628056365
NDUFC1	1.62683778
AP002387.1	1.624554355
OTUB1	1.624379102
EVX1.AS	1.621371771
RPH3AL	1.616735087
SLC20A2	1.616672847
NDUFA4L2	1.616530231
PSMC4	1.615283486
UBFD1	1.614714506
AC068473.5	1.614700801
ASNA1	1.612919573
NFRKB	1.61183428
LINC00467	1.610547786
NDUFV3	1.610401988
CEP57L1	1.609270815
FUBP1	1.608000262
GPN1	1.605770354
AC107871.1	1.603109165
GNB1	1.602731283
PDIA4	1.601372067
RPP21	1.600573503
PPP1R14B	1.59887193
SCO2	1.598413495
KIF9	1.597429565
SSR2	1.596688178
NUDT22	1.595609455
HIST2H2BC	1.594926129
CYB5B	1.591115146
AC008771.1	1.588236537
RAB42	1.588153081
RB1	1.586089849
PPP1R16A	1.585467252
LPCAT3	1.584308176
SLC29A4	1.584205331
ZBED3	1.584205331
AC104257.1	1.582903841
KRBOX4	1.582491146
GS1.124K5.4	1.581438395
CASP10	1.580849551
TMEM109	1.579986492
MGMT	1.579844159
XRCC4	1.577390957
ULK4P3	1.57612399
RSRC2	1.575217077
NTAN1	1.575072864
ATP6V1F	1.573048547
AL391069.2	1.570988619
MRPL16	1.570443415
FAM66C	1.568063073
ILDR2	1.568063073
FRAS1	1.567876902
AC073174.2	1.567191564
C12orf75	1.567169893
PCMT1	1.567020299
SECISBP2	1.566803172
EXOSC9	1.564601346
MORN1	1.564568296
CTNNBIP1	1.563139134
GADL1	1.561822997
CCDC90B	1.560091388
TAX1BP1	1.558857048
HMGB1P5	1.558156642
AC245100.8	1.55785795
ZNF226	1.557456584
AC012146.1	1.555084487
AAMDC	1.554653496
PIGBOS1	1.554135188
CDC73	1.552308908
GMPPB	1.552278154
AC130304.1	1.552002471
PRAP1	1.552002471
GSK3A	1.551766594
YIF1A	1.55129632
TEN1	1.550189059
DTWD1	1.549414418
FUT11	1.548652862
CDKN2AIPNL	1.547029383
MRPL18	1.546262247
PSMD8	1.545937292
MTERF3	1.545798255
CMAS	1.544680786
HMGN4	1.544074421
AL450306.1	1.544029734
FAM161B	1.544002771
AL133216.2	1.544002771
ST8SIA6	1.542227261
BZW1P2	1.54221808
PDHX	1.539326842
EIF3J	1.539150412
NMT2	1.537058188
ARF4	1.536363974
AC005670.2	1.53630136
SIGMAR1	1.536093918
ZSCAN31	1.535570898
NEK7	1.534761142
UFC1	1.534661245
FAM163A	1.53331315
GFER	1.531387523
TOX4	1.531264176
AC135050.7	1.526763657
UBE2D1	1.525841606
NDUFAF8	1.525503552
GID8	1.523694948
MOB4	1.52365349
PNPLA4	1.522503179
WNT8A	1.522316001
HAT1	1.521861259
FZD7	1.521301593
AL135905.2	1.518975731
LSM2	1.518545714
SMNDC1	1.515976568
C5orf30	1.515216904
SLC27A5	1.513554318
LYAR	1.508280988
CREB3	1.507953149
LINC02001	1.507875426
DLG5	1.504973234
PRRT3	1.504239574
SPDYE2	1.502722767
DCTN3	1.502020835
LACTB2	1.501622964
C15orf38.AP3S2	1.501456306
DRAP1	1.500978064
TAF1A	1.500621292
FP671120.4	1.499257999
CCDC34	1.497834368
EP400P1	1.495463628
SNHG8	1.494509314
DYNLRB1	1.494044117
ZNF207	1.491350661
UXT	1.488314884
PREX1	1.487716019
EIF6	1.485806627
AC270285.2	1.483571105
AP001347.1	1.483467173
HSPA13	1.483301527
SAAL1	1.480402509
VARS2	1.479979025
WBP4	1.47914926
MT.TN	1.479012681
TMEM267	1.478060387
HMBS	1.47728874
KCNK17	1.477079184
YWHAH	1.474695311
VEGFB	1.471022293
AC021092.1	1.46981896
ISL1	1.46777141
MAGED2	1.46720395
ALG3	1.46601865
PPIE	1.465605433
EIF2AK1	1.464561983
EDF1	1.463803408
AC005089.1	1.463605837
FDFT1	1.463600624
MPHOSPH10	1.463316422
NHP2	1.460611884
RTL8A	1.460243956
CRYBB2P1	1.45923704
ZFR2	1.458695206
GATD3A	1.45827161
CNTROB	1.457405652
RPN2	1.452638411
BNIP3	1.452404341
PAIP1	1.451850507
ANKRD37	1.450270178
MRPS22	1.450014921
MMD	1.449024007
COX7A2L	1.448714663
AP000943.2	1.447039463
DDX46	1.446427483
EIF3D	1.445417711
NOL12	1.445296045
ZNF213.AS1	1.444761954
FNDC5	1.442451278
PRPF3	1.442212437
VPS37A	1.441814338
AP000446.1	1.439555739
Z93930.2	1.43532042
RPS26P3	1.43532042
HACD1	1.434076864
C19orf73	1.431446487
CDC20	1.430760363
THY1	1.430507443
TMEM35B	1.429844662
FAM210A	1.428133602
MAPRE1	1.426305511
TCEAL4	1.425713282
PAAF1	1.425656276
FLJ37453	1.425645944
MIXL1	1.425344403
WWC3	1.425113962
LIMD2	1.424300781
CETN2	1.419857791
SARAF	1.419640354
RAB5A	1.419211277
CUEDC2	1.418868195
SMYD3	1.418777807
RAP2A	1.418199703
NDUFV2P1	1.417282058
ADAMTS9	1.416863363
LHX1.DT	1.415495451
RSL1D1	1.414551443
AC009086.2	1.413186258
ZNF670	1.412788572
AL358472.2	1.412769135
PHRF1	1.412769135
LINC01952	1.412769135
BNIP3P1	1.412769135
UTP25	1.411636061
COX5A	1.411396649
MRFAP1L1	1.40915587
AL049557.2	1.408820768
C1D	1.408317863
SNHG17	1.408007046
AFDN.DT	1.407775293
FAHD2B	1.405685852
ARL9	1.40539576
RAMP2.AS1	1.40539576
NT5C3A	1.405097592
NIFK	1.405060801
PGBD1	1.403568693
P4HA1	1.403468139
KDM2B	1.402282563
CSTF3	1.400531759
GTF2IRD2	1.399369847
MAML3	1.398818737
PSMC3	1.397709467
TSPAN9	1.3976238
CDKN3	1.393809235
MLF2	1.393318393
CWC15	1.393259445
AC002310.1	1.392810239
SRSF9	1.391728005
LINC00939	1.390705544
TMEM52B	1.390705544
HDAC2	1.390429709
ATF5	1.389838781
CTNNBL1	1.387126477
NME4	1.386105375
MBD2	1.384244341
PXMP2	1.383758032
BZW1	1.382367644
TBCB	1.381668809
PRDX2	1.379478139
HPF1	1.379138735
SRI	1.37749431
PPP2R1A	1.374915927
AC092903.2	1.373967373
SERP1	1.37288689
DLL1	1.372748412
AC021097.2	1.372438481
GPN3	1.371713065
RBM19	1.370673477
PIGF	1.369965611
UFSP2	1.3685292
HDAC4	1.368084029
TMEM99	1.36703414
PSMD14	1.366392962
AL359504.2	1.364562124
S100A13	1.361481524
SLC2A5	1.358142439
ZSWIM7	1.354990836
CYTH2	1.354601388
AP001107.9	1.353973002
LAMTOR2	1.353865088
APLP2	1.353797565
DERL2	1.352963672
SSSCA1	1.35294883
LRRC34	1.351729798
ZWINT	1.347599837
ACADM	1.346008117
EBNA1BP2	1.345943893
LAMTOR1	1.345943893
TMEM243	1.345570415
C16orf45	1.345046861
RAB14	1.343016802
YIPF4	1.34249219
CCDC28B	1.342136259
TAF10	1.341414953
HIF1A	1.34133841
PUS3	1.341289477
SYCE1L	1.341136041
SCOC	1.339718204
AP001469.3	1.339275949
ZNF530	1.336984034
PSMC3IP	1.333291163
NR1D1	1.332670401
FAM192A	1.332089663
DMAC2	1.331518348
FGF4	1.331296123
ERLIN1	1.3285897
ZADH2	1.327664922
VTA1	1.327551175
MZT1	1.326831354
ADGRL2	1.326064238
RPL23AP53	1.325734921
AL390728.6	1.325734921
CUTA	1.324170447
MKNK1	1.323387459
NDUFA10	1.322354556
IDNK	1.32145955
TIMM8A	1.319886859
NDUFA9	1.319143898
PARL	1.319137294
JMJD6	1.318138099
QPRT	1.316855439
IPO5P1	1.316823969
SDCBP	1.315448691
C14orf119	1.314241964
DESI1	1.313613578
EIF2S3	1.312239158
SUCLA2	1.311627306
IP6K1	1.310606509
ACTR1A	1.310391918
TFPI	1.309679555
KDM4A.AS1	1.30866217
SDHB	1.30739946
ISCA1	1.306556266
NARS	1.306506258
SMIM11A	1.305263278
NXNL1	1.305033818
MRPS16	1.304939636
AC078819.1	1.303033083
IGSF3	1.301594503
YIPF5	1.301569936
PRELID1	1.300740203
PLRG1	1.299763497
SDCCAG8	1.298723959
ICE2	1.298416133
KDM6B	1.298168536
C12orf76	1.297986612
BCAS2	1.297146063
INTS12	1.294926545
AC275440.1	1.294894007
LYRM4	1.294742125
MED8	1.293983704
MCM5	1.293861594
COPB2	1.293743562
PSMC5	1.292194803
PFN2	1.29195272
AC090578.1	1.291320783
CNTNAP3C	1.291320783
CRAMP1	1.291320783
METTL6	1.290093184
MRPS11	1.288997332
TMEM9	1.288835223
ACADSB	1.288724686
LGMN	1.288245664
ZNF565	1.284490551
USP49	1.284490551
PAN3	1.283337008
SPTSSA	1.283038969
NKAPD1	1.279759662
SLC25A26	1.279659238
WDR33	1.277917494
PSMG2	1.276475793
PNRC1	1.273523642
JKAMP	1.273444669
SNRNP35	1.27331698
SUMO3	1.272328397
RCN1	1.271395089
TNFSF14	1.270457091
RN7SL465P	1.27033623
ETFA	1.27013569
KIF9.AS1	1.269505186
GRINA	1.265587292
DNAJB12	1.265331135
HNRNPAB	1.265182173
EXOSC3	1.26475404
LSM10	1.264432541
SLC50A1	1.264239377
CFDP1	1.262775535
CCNH	1.262733728
SPCS3	1.262556446
GNA11	1.261922152
GGNBP2	1.26126164
HMGA1	1.260799218
NUDT3	1.258460235
GMFB	1.257612956
AC008453.1	1.257344667
CENPW	1.257218429
HMG20B	1.256986017
METTL27	1.256592168
CAVIN3	1.256421941
IKBIP	1.254086685
PSMD11	1.253310403
NUDT21	1.253007047
AC004130.1	1.252702888
ZC3H6	1.251566449
MDH2	1.250984704
GBAP1	1.250601916
MESP1	1.250315407
TUBG1	1.249897729
POLR2L	1.24935028
QPCT	1.248884349
ANKS3	1.248423767
PMS2P5	1.247387802
RPS3	1.246713621
CGGBP1	1.243190393
LINC00674	1.243028015
ZNF263	1.242850723
NAA20	1.242100154
FBXO7	1.23987289
GTF3C3	1.239744427
PIP4P2	1.239744427
PLP1	1.23967976
SLTM	1.23896257
EMC2	1.23768922
TCL6	1.237168818
AJ011932.1	1.235814934
MTLN	1.234756332
GINS2	1.234685278
LINC01670	1.234666287
RNF7	1.234469573
RMI2	1.232242348
AC007405.3	1.231435267
TK1	1.230488072
EIF1	1.229010807
HTATSF1	1.225900919
CA5BP1	1.22505213
FUCA1	1.224440649
DARS	1.224278067
E2F7	1.223672391
CCZ1	1.22336001
CUL7	1.222859858
ARF3	1.222279002
YWHAQ	1.221584578
DAD1	1.221456159
FADS1	1.221189532
TRAPPC4	1.220671603
HIBCH	1.220652596
MAIP1	1.220442816
SLC25A51	1.219666025
ARV1	1.217340427
AC006480.2	1.217150053
AC013717.1	1.216406927
SELENOK	1.214742697
MRPL54	1.214070562
CDK11B	1.212196631
NUP107	1.211957922
ELP4	1.211858963
NUBP1	1.211858963
PRR13	1.211419533
SOS2	1.210889665
MRPS14	1.210765463
XBP1	1.210263059
PPP2R5A	1.209970388
AC005833.1	1.209634527
RPL28	1.209432441
YWHAE	1.208903416
MLEC	1.208221521
SH3KBP1	1.207904144
CENPV	1.20731811
POLR1D	1.20658616
ZSCAN16.AS1	1.205196487
PMM2	1.203809922
SYP	1.203714616
AC007365.1	1.203550235
PLXND1	1.203550235
AC138430.1	1.203550235
CD81	1.202833846
KPTN	1.201853621
ILKAP	1.201368521
ARL14EP	1.200779986
AURKAIP1	1.200617535
IMPACT	1.199275688
HPRT1	1.199265096
GLO1	1.199079566
CRABP1	1.197661406
IMP4	1.197655724
PDK3	1.196624017
RNF2	1.196624017
ARPC2	1.196481781
TRAF5	1.196369015
PSMB4	1.195920852
SRSF2	1.19524993
AC002094.1	1.194972106
WTAP	1.194241576
SLC31A1	1.193371747
METTL17	1.193127052
GNAI2	1.19294568
ERVK3.1	1.192667537
SNX3	1.191411861
IL17RD	1.190873777
TEKT4P2	1.190759055
MOBP	1.190759055
GSTA4	1.190090895
NES	1.189084178
CLMP	1.189078046
PRCP	1.188926201
PLCD1	1.188046356
MCM6	1.187847263
BANF1	1.186496831
CCT7	1.186487674
NAA50	1.18475829
PORCN	1.184416471
PDCD11	1.182862392
MLF1	1.181954845
DERL3	1.181556576
ZNF773	1.180967099
C14orf93	1.178033321
ATG4B	1.17638548
PEX19	1.176030305
ACY1	1.175626017
ZFAND1	1.175362139
UXS1	1.173824962
CLTRN	1.171694976
