Gene	Rank
PMAIP1	16.50341205
MT1G	16.35808515
AC106864.1	14.95708466
TERF1	14.53049647
MT1F	13.21421797
HPAT5	12.92172734
DIAPH2	12.84334007
MT1H	12.68285937
ARL4A	12.07041715
APELA	11.54114464
PTPRZ1	11.36561234
SOX2	11.36131199
C9orf135	11.00459322
L1TD1	10.95409486
FOXD3.AS1	10.88722354
SELENOP	10.62826524
COX7C	10.458856
AC007656.2	10.33123483
SCG3	10.07028804
RARRES2	9.954278045
ZFAS1	9.842174652
SERF1B	9.791960088
RPL12	9.717199518
PEBP1	9.654239921
MAL2	9.646547307
PSIP1	9.476113685
TMEM167A	9.454268927
SOX4	9.393403399
MT1E	9.386628105
RPS17	9.258776141
NDUFS4	9.170119963
RPL22	9.169581137
RPL9	9.164021228
RPSA	9.15846494
RPAIN	9.115587983
RPS8	9.097437933
ATP5ME	9.047664737
RPS16	9.02009231
CAMTA1	9.014664437
RPL23	8.992526305
RPS10	8.970521435
PODXL	8.966158042
RPS26	8.904666284
MALAT1	8.87730307
RPS24	8.860903078
PFDN4	8.817252868
RF00100	8.800303161
GADD45GIP1	8.768293396
HINT1	8.762844171
RPL17	8.75741106
RPL6	8.74655364
RPS21	8.72485964
TIMM8B	8.70860916
RPL35A	8.697781216
LSM5	8.692372521
COX7B	8.692370741
MT.ATP6	8.687061639
RPS7	8.670746206
RPL37	8.659944357
RPS27A	8.649149453
HELLPAR	8.643816551
MRPS28	8.53735636
UQCRB	8.520187151
RPL26	8.509447659
RPL39	8.493403731
MTATP6P1	8.47787132
ID2	8.474859331
PNLIPRP1	8.468903723
MRPL51	8.445426107
RPS29	8.445365667
DMAC1	8.424205207
TXNDC17	8.424060536
RPL31	8.424060536
RPL35	8.424060536
BRIX1	8.409062548
TSTD1	8.37625974
RBM39	8.370926017
ATP5MD	8.370919174
MT.ATP8	8.36639252
CD24	8.351075851
AC004057.1	8.34971121
UQCRH	8.333823453
MT.CO3	8.323520867
NAA38	8.317968302
RPS13	8.312664065
RPL27	8.307378554
RPL34	8.307378554
CARHSP1	8.298745166
TOMM5	8.286260629
SOD1	8.249352423
RPL11	8.24408941
NDUFB1	8.223046286
RPS15A	8.212535971
COX6B1	8.20728509
RPL19	8.202032593
HSP90AA1	8.196783505
NACA	8.186290531
RPL24	8.160088443
SLIRP	8.160088443
RPL13A	8.160088443
ATP5IF1	8.139157983
CBX3	8.10781596
COX20	8.024806182
RPL38	8.024536271
GAS5	8.01948344
RPS18	8.008971039
BOLA2B	8.004528399
FAU	8.003787726
RPL9P9	7.977887369
MRPL20	7.972769682
SNRPF	7.962368928
AC012314.18	7.946866084
NAP1L1	7.941703552
SNRPG	7.915907179
HMGN3	7.910769537
GNL3	7.891248457
SNRPE	7.885010647
RPL41	7.879867289
RPL36A	7.874732076
RPS25	7.813161269
NDUFB2	7.808042162
UQCC2	7.802926375
RPL30	7.777365472
SON	7.772256906
RPL37A	7.767151654
PSMA4	7.726378263
RPL10	7.711109738
NME2	7.69589124
TMSB4X	7.690780667
HLA.DQA1	7.672329956
RPS11	7.660341352
ENAH	7.628210091
RPS27	7.619852541
RPS28	7.599665117
DEK	7.569735547
RPS20	7.569397307
SNRPD2	7.569397307
UQCR10	7.564361302
ATP5MF	7.554296019
LDHB	7.554294485
ATP5F1E	7.549263672
TMA7	7.549263672
CHURC1	7.538540393
RPA3	7.534235159
H2AFZ	7.534181616
ANAPC11	7.524135564
RPS6	7.524135564
NDUFA13	7.514096433
NDUFB3	7.509085561
RPS23	7.504064224
COA1	7.489575237
PSMA2	7.464004592
PABPC1	7.454557565
C8orf59	7.454134033
RPL21P16	7.449025889
MRPL42	7.449012286
TIMM13	7.445043458
MT.CO2	7.444197537
MINOS1	7.439025056
COX16	7.429058308
PSMB5	7.429044744
ATP5MPL	7.419069847
ATP5MG	7.419069847
RBX1	7.414085746
POMP	7.404122734
DDX18	7.399143822
NDUFC2	7.394172638
NOP10	7.384217465
NDUFA4	7.384217465
UBL5	7.384217465
SEM1	7.384217465
AL512646.1	7.379245471
MT.RNR2	7.369358969
CCDC160	7.360886125
SNRPD1	7.354411444
TXNL4A	7.35174504
NDUFS5	7.349449826
UQCR11	7.344489938
TRMT112	7.339531779
SRRM1	7.339531779
PPIA	7.324667677
SELENOW	7.315011528
NME1	7.314772851
RPL21	7.290045289
SET	7.280198237
EIF5B	7.241265512
SRP14	7.235809833
ATP5PF	7.230889709
