Gene	Rank
CYP2S1	15.45163441
TMEM59L	14.08141505
PIM2	13.39803219
WNT5B	13.08893436
ATP1B2	12.698008
GTF2IP4	12.60430785
SCRN2	12.47044344
CDX1	12.42597174
MYBL2	12.10555089
MIIP	12.06189405
PMEL	11.8586228
TM7SF2	11.78155727
MPV17L2	11.64658536
REC8	11.29412804
ACTN1	11.13118084
SLC29A1	10.76011426
CERS2	10.33405329
PRSS8	10.31835705
NINJ1	10.24068446
LDOC1	10.2273689
TBRG4	10.07231867
LCK	10.06473452
GBX2	10.02965024
ALPL	9.937281773
HOOK2	9.904413842
LARGE2	9.894724016
SOCS1	9.815334466
GSS	9.73381358
BCL7B	9.692633657
GRN	9.653543636
DHRS11	9.610139946
RRP9	9.529349962
CCND1	9.429815221
PACSIN3	9.402246806
CKB	9.383429274
LSR	9.303143256
NOC4L	9.279190846
PLTP	9.054438956
CDK16	8.942936819
GTF2E1	8.912657356
PIP4K2C	8.794393088
APEX2	8.771552499
MCAT	8.733756941
PIM1	8.722115703
MAPKAPK3	8.671976918
CORO1B	8.670497169
NBPF1	8.646018942
RNF187	8.639372421
CDK9	8.626439323
C19orf25	8.612424232
TPST2	8.529885945
SYNGR2	8.529574224
C19orf54	8.52918787
POLDIP2	8.401344813
CENPT	8.393825866
AP3D1	8.392198675
REEP6	8.38255793
KLHDC3	8.381875252
PSMD3	8.345411294
SLC29A3	8.323440142
ARHGAP8	8.261047899
NELFCD	8.249421
NKD2	8.234002847
HOXD1	8.134585718
FASTK	8.132742562
CALCB	8.115234998
HDGF	8.114280012
GCAT	8.112840409
PHKG2	8.103128387
RPS6KA1	8.095104015
ETV4	8.073963036
POC1A	8.003881918
CNTNAP4	7.961960743
AGPAT2	7.955799378
SYT6	7.955454522
CHST6	7.954028906
TSPAN18	7.943667707
PGAP2	7.920978629
CERS4	7.882119496
MFSD10	7.876056717
DBNDD2	7.790050325
CCDC86	7.778674786
AC008894.2	7.761338601
FYN	7.748693084
TDRKH	7.730300184
MMP2	7.67951133
CLDN4	7.675135695
RBM42	7.668678645
PRMT6	7.660171219
CRIP2	7.632192516
ARHGDIA	7.610224553
CDH3	7.603670586
CDX2	7.600309173
NIPA1	7.593546583
NECTIN2	7.590194807
APMAP	7.587255971
GRWD1	7.522598018
TRAIP	7.511372124
HPS3	7.510591294
NDUFV1	7.508545341
AAAS	7.4943305
SLC7A8	7.468524743
MAF1	7.42992904
MAPK3	7.426056223
EFEMP1	7.389342692
WDR34	7.372478539
TBC1D2	7.365743914
TRIP6	7.335495268
CCT6P3	7.325682481
CCDC130	7.312758622
NUCB1	7.287433139
RNASET2	7.27524141
DUSP3	7.274112778
FIG4	7.271923017
RASL11B	7.270091189
TCN2	7.261246617
MTMR14	7.25620623
TUBB4A	7.242422016
CSNK1E	7.222483962
TRAP1	7.219619807
MTHFD1	7.219111526
RAB11B	7.201594068
PPAN	7.20030941
TARBP2	7.185760313
SFRP2	7.178631831
ANKRD35	7.177393365
DUS1L	7.169426195
EDAR	7.157118538
GPR50	7.124334033
FARSA	7.109449162
NKIRAS2	7.106964587
RUSC1	7.105433512
SGTA	7.077524217
STXBP2	7.018201688
UBA1	6.983667974
FSD1	6.981774444
TSPAN33	6.966708462
CTSD	6.937436346
DHCR7	6.932835553
ASH2L	6.906354683
PTPRA	6.897372492
PRCC	6.895803004
AMT	6.887594978
VAC14	6.88199604
HOMER3	6.872543991
TSPAN15	6.843000078
TNFAIP1	6.821052143
TMEM159	6.813252102
BRMS1	6.813031523
SMARCD2	6.797518717
BBS4	6.796532986
CRB3	6.768054391
B4GALT7	6.766722962
IER2	6.749551553
MCM2	6.736603946
BCL2L1	6.728877436
CDC37	6.726892238
GRTP1	6.716053459
RRAS	6.710850567
PINX1	6.704232626
TMEM39B	6.704060931
SLC22A17	6.696085977
SCAND2P	6.689389636
PYCR1	6.670266093
DUSP26	6.669366078
RNF10	6.651779977
ALG1	6.636414711
BBS2	6.631819257
PTPN5	6.624333397
WSB2	6.603801323
ZNF133	6.596269328
KDF1	6.593393114
SRPRA	6.591346848
AC011611.3	6.573360799
TGIF2	6.554079421
SYNGR3	6.550093053
SOCS2	6.549784634
FBXO42	6.54863989
FLOT2	6.538103038
GNAI2	6.533173939
CNDP2	6.527070005
MFSD3	6.527034261
PLS1	6.525415986
TSTA3	6.516055095
TMEM101	6.503210546
CTSA	6.500114534
HES4	6.498582214
TAF6L	6.482241171
RASSF7	6.478468179
GNB2	6.476031037
SNRNP70	6.463641015
MRM3	6.446644773
TSEN54	6.445540302
HINFP	6.443196838
KCTD5	6.436698035
RPP25	6.408601371
PGS1	6.407443573
F2RL1	6.404741436
FAM241B	6.398256903
SYVN1	6.391235931
KIAA1522	6.370538318
SARS2	6.367927193
FAM91A1	6.365397423
TCEA3	6.358362212
OLFM2	6.356496153
WLS	6.356088758
SDR42E1	6.349232498
GPRC5B	6.335143977
RNF146	6.325377803
LRPAP1	6.325162405
TPD52	6.308632129
CYB5R1	6.30386722
GORASP2	6.287633204
NOMO2	6.2827635
MARS	6.2823326
NECAB2	6.280542891
AC006581.2	6.278707337
DPF2	6.271910472
ARFGEF2	6.258563526
YARS	6.254415439
EVA1B	6.248778553
SLC39A4	6.246195085
MYBBP1A	6.243888402
FECH	6.218121841
NLE1	6.18507836
GDPD2	6.181227979
CBLC	6.167783464
MAGED4	6.165382815
TINF2	6.157292824
F2R	6.150261717
MANBAL	6.147949626
MEIS3	6.14135781
SLC43A1	6.134822952
LAS1L	6.134107612
DUSP1	6.129345204
HARS	6.127633475
RND2	6.110543425
EIF2AK3	6.101647466
PATJ	6.099033835
CCM2	6.084400209
DNAJB1	6.082278408
ACADVL	6.080382324
MOAP1	6.073611569
WDR20	6.073602807
COPS7B	6.06960178
PTGES2	6.0624123
METTL22	6.051269013
GSAP	6.030007453
ARL8A	6.024952409
SQSTM1	6.023255996
TNIP2	6.022944578
NCS1	6.01787077
PAF1	6.011023847
TULP3	6.004021907
FXYD5	6.003271565
TSR2	6.003007758
GADD45G	5.993449316
CCKBR	5.983994279
EHMT2	5.974918292
SDHA	5.963908132
CST3	5.956624688
LMNA	5.956156103
ZDHHC16	5.951439976
BMP4	5.948810293
NELFA	5.94830601
FUCA1	5.943499724
TUBB3	5.934916933
DEAF1	5.917916622
HIST1H3I	5.9049353
LIG1	5.900499962
USP11	5.899698318
HAGH	5.890010212
AP000446.1	5.881169399
